0112 88
012f 30
0130 00
0146 11
0147 e0
015f c0
0168 00
018d 04
0193 00
01cf 30
0317 00
032f 30
0355 80
035f c0
0364 18
0368 00
03cf 30
03e7 00
03e8 03
050f 00
0510 20
0517 00
052f 3c
053d 06
0555 80
0564 08
056b 07
056d 0c
0571 41
0572 30
0576 00
05ae 00
05cc 20
05d0 00
05e7 00
05e8 03
05ea 00
05ec 20
070f 30
0710 00
073f c0
076d 0f
0772 30
0787 00
0788 00
07b9 ff
07ba 80
07cc 20
07ec 30
0911 07
0926 c0
0932 20
0933 00
0961 02
096e 00
0972 00
098c c1
0997 ac
09a9 e8
09d5 00
09e4 0f
0b32 20
0b61 03
0b97 0c
0ba5 00
0ba7 00
0ba8 18
0ba9 08
0baf 10
0bcb 3f
0bcf 00
0bd0 08
0bec 00
0bf3 00
0d13 00
0d30 01
0d32 00
0d35 02
0d4a 00
0d4b 00
0d54 3c
0d6a 03
0d91 b8
0da9 00
0daf 00
0dcb 40
0dcf 00
0de8 78
0dec 00
0df0 2c
0f0f 30
0f12 23
0f13 00
0f35 02
0f53 1c
0f54 00
0f6c ff
0fa9 00
0fb5 00
0fcb 40
0fe8 20
110e 30
114a 01
1168 03
1196 7c
11a6 70
11aa 00
11ad 00
11d1 00
1307 80
130a 00
1311 07
1331 3e
1351 86
1366 81
1367 90
1368 03
136e 1e
13a6 60
13ad 00
13af 04
13c5 38
1509 01
150e c0
1511 09
152b f0
1532 7c
154d 00
1570 03
158b 00
158c 09
15ac 1d
15ad 83
15b3 04
15c5 04
15cc 00
15cd 02
15d2 00
15ed c2
15ef 40
15f7 01
170c 30
172c d2
172e 00
172f 20
1731 00
174d 00
1775 1f
1786 63
17ab 00
17b1 00
17d2 00
17ef 40
